SAL,SAL 2021 Name,POA 2021 Code
10611,Bruie Plains,2875
10612,Bruinbun,2795
10613,Brumby Plains,2476
10614,Brundee,2540
10615,Brungle,2722
10616,Brungle Creek,2722
10617,Brunkerville,2323
10618,Brunswick Heads,2483
10619,Brushgrove,2460
10620,Brushy Creek,2365
10621,Buangla,2540
10622,Bucca (NSW),2450
10623,Bucca Wauka,2429
10624,Buccarumbi,2460
10625,Buchanan (NSW),2323
10626,Buckajo,2550
10627,Buckaroo,2850
10628,Buckenbowra,2536
10629,Buckenderra,2630
10630,Buckendoon,2472
10631,Bucketty,2250
10632,Buckra Bendinni,2449
10633,Budawang,2622
10634,Buddabadah,2825
10635,Budden,2849
10636,Budderoo,2535
10637,Buddong,2720
10638,Budgee Budgee (NSW),2850
10639,Budgewoi,2262
10640,Budgewoi Peninsula,2262
10641,Budgong,2577
10642,Buff Point,2262
10643,Bugaldie,2357
10644,Bukalong,2632
10645,Bukkulla,2360
10646,Bulahdelah,2423
10647,Bulee,2622
10648,Bulga (NSW),2330
10649,Bulga Forest,2429
10650,Bulgary,2650
10651,Bulla (NSW),2835
10652,Bulla Creek,2594
10653,Bullaburra,2784
10654,Bullagreen,2824
10655,Bullarah,2400
10656,Bullatale,2710
10657,Bullawa Creek,2390
10658,Bulldog,2469
10659,Bulli,2516
10660,Bulliac,2422
10661,Bullio,2575
10662,Bulyeroi,2387
10663,Bumbaldry,2794
10664,Bumbalong,2626
10665,Bundabah,2324
10666,Bundagen,2454
10667,Bundanoon (NSW),2578
10668,Bundarra,2359
10669,Bundeena,2230
10670,Bundella,2343
10671,Bundemar,2823
10672,Bundewallah,2535
10673,Bundook,2422
10674,Bundure,2716
10675,Bungaba,2852
10676,Bungabbee,2480
10677,Bungalora,2486
10678,Bungarby,2630
10679,Bungarribee,2767
10680,Bungawalbin,2469
10681,Bungendore,2621
10682,Bungonia,2580
10683,Bungowannah,2640
10684,Bungwahl,2423
10685,Bunnaloo,2731
10686,Bunnan,2337
10687,Bunyah,2429
10688,Bunyan,2630
10689,Burcher,2671
10690,Bureen,2328
10691,Burnt Bridge,2440
10692,Burnt Yards,2792
10693,Buronga,2739
10694,Burra (Queanbeyan-Palerang Regional - NSW),2620
10695,Burra (Snowy Valleys - NSW),2653
10696,Burra Creek,2722
10697,Burraboi,2732
10698,Burradoo,2576
10699,Burraga,2795
10700,Burragate,2550
10701,Burrandana,2650
10702,Burraneer,2230
10703,Burrangong,2594
10704,Burrapine,2447
10705,Burrawang,2577
10706,Burrell Creek,2429
10707,Burren Junction,2386
10708,Burrier,2540
10709,Burrill Lake,2539
10710,Burringbar,2483
10711,Burrinjuck,2582
10712,Burroway,2821
10713,Burrumbuttock,2642
10714,Burrundulla,2850
10715,Burrungubugge,2624
10716,Burwood (NSW),2134
10717,Burwood Heights,2136
10718,Busby,2168
10719,Busbys Flat,2469
10720,Bushells Ridge,2259
10721,Buttaba,2283
10722,Buttai,2323
10723,Butterwick,2321
10724,Buxton (NSW),2571
10725,Byabarra,2446
10726,Byadbo Wilderness,2628
10727,Byangum,2484
10728,Bylong,2849
10729,Byng,2800
10730,Byrock,2831
10731,Byron Bay,2481
10732,Byrrill Creek,2484
10733,Bywong,2621
10734,Cabarita (NSW),2137
10735,Cabarita Beach,2488
10736,Cabbage Tree Island (Ballina - NSW),2477
10737,Cabbage Tree Island (Mid-Coast - NSW),2430
10738,Cabramatta,2166
10739,Cabramatta West,2166
10740,Cabramurra,2629
10741,Caddens,2747
10742,Cadgee (NSW),2545
10743,Cadia,2800
10744,Caerleon,2850
10745,Caffreys Flat,2424
10746,Cairncross,2446
10747,Calala,2340
10748,Calamia,2460
10749,Calderwood,2527
10750,Caldwell,2710
10751,Calga,2250
10752,Califat,2729
10753,Calimo,2710
10754,Callaghan,2308
10755,Callaghans Creek,2422
10756,Callala Bay,2540
10757,Callala Beach,2540
10758,Calliope (NSW),2462
10759,Caloola,2795
10760,Cambalong,2632
10761,Camberwell (NSW),2330
10762,Cambewarra,2540
10763,Cambewarra Village,2540
10764,Camboon (NSW),2849
10765,Cambra,2420
10766,Cambridge Gardens,2747
10767,Cambridge Park,2747
10768,Cambridge Plateau,2469
10769,Camden,2570
10770,Camden Head,2443
10771,Camden Park (NSW),2570
10772,Camden South,2570
10773,Camellia,2142
10774,Cameron Park,2285
10775,Camerons Creek,2359
10776,Camira (NSW),2469
10777,Cammeray,2062
10778,Camp Creek (NSW),4385
10779,Campbelltown (NSW),2560
10780,Camperdown (NSW),2050
